Source,Contribution,Measure
Carbon Dioxide,1.66,relative
Methane,0.48,relative
Nitrogen Dioxide,0.16,relative
Halocarbons,0.34,relative
Stratospheric Ozone,-0.05,relative
Tropospheric Ozone,0.35,relative
Stratospheric water vapour from CH4,0.07,relative
Ice/snow Albedo,-0.2,relative
Black carbon on snow Albedo,0.1,relative
Direct Aerosol effect,-0.5,relative
Aerosol Cloud Albedo effect,-0.7,relative
Linear contrails (Aircraft engines),0.01,relative
Solar irradiance,0.12,relative
Net total,Total,total
